19,7,6,3,547,466
26,6,5,38,363,658
42,24,4,2,344,699
32,100,2,4,1531,767
22,101,5,13,1500,835
255,60,4,4,642,678
140,75,33,4,621,708
240,10,97,5,1217,609
381,77,3,2,1581,638
98,28,33,2,1888,542
275,77,8,4,1520,717
3,75,54,3,2415,928
38,30,10,14,136,644
45,33,4,8,268,668
62,37,3,18,199,848
41,43,9,4,588,835
9,34,4,4,1584,471
1,2,16,52,1816,475
59,27,4,3,1189,651
1,40,4,3,937,721
6,15,12,2,1832,573
58,42,9,7,2081,595
28,33,18,3,1646,775
19,18,24,4,1897,771
25,34,41,3,2793,795
175,173,24,7,597,351
17,300,13,17,98,609
57,175,2,5,338,554
367,37,13,3,344,570
365,16,8,10,477,775
282,40,19,211,338,989
13,347,17,3,604,857
199,168,6,4,914,347
416,326,11,4,1549,471
114,167,4,10,2205,517
281,220,13,3,2616,482
83,169,31,2,1048,548
24,296,2,4,971,876
63,302,6,20,2161,676
409,89,3,2,2312,765
133,3,43,16,393,554
146,0,5,19,333,918
140,0,25,10,654,870
136,4,12,11,1516,390
137,2,75,4,2703,422
126,6,56,7,2778,492
162,0,3,7,1509,651
134,4,12,13,1773,758
117,9,56,3,2778,785
180,20,11,2,2013,898
136,14,25,4,1955,924
19,4,4,2,490,469
0,29,16,3,560,466
7,0,6,8,624,668
2,3,7,5,1217,452
16,1,12,4,1832,436
5,0,24,4,2312,462
27,0,3,3,1509,658
33,63,6,3,488,351
64,83,9,5,75,626
219,124,22,7,494,563
324,151,12,2,532,542
227,52,9,28,299,795
335,134,4,3,304,944
362,171,4,10,473,785
255,126,4,5,340,830
226,106,4,14,438,937
189,127,32,5,1844,417
106,88,9,8,1888,449
140,107,13,5,2205,502
82,72,54,3,2237,658
276,32,14,3,1683,883
14,9,10,38,1747,880
14,27,9,4,1888,853
106,68,17,3,2319,870
137,148,58,70,272,457
31,240,23,4,553,462
251,186,7,4,265,631
312,109,4,7,283,944
177,215,21,23,999,410
156,185,12,5,1516,342
86,23,80,12,1736,358
149,215,74,4,2629,445
154,134,26,4,2370,462
91,222,4,4,2291,644
